coal_or_metal,commodity,mine_name,mine_type,operator_id,operator_name,state,status
M ,"Crushed, Broken Stone NEC ",Newberg Rock & Dirt,Surface,3503598,Newberg Rock & Dirt  ,OR ,Active 
M ,Construction Sand and Gravel ,Allied Dirt Moving Co Pit & Plant,Surface,0502030,Allied Dirt Moving Company  ,CO ,Abandoned 
M ,Construction Sand and Gravel ,AM Dirtworks & Aggregate Sales,Surface,4801789,AM Dirtworks & Aggregate Sales  ,ND ,Abandoned 
C ,Coal (Bituminous) ,Unit Train Loading Facility,Facility,4201449,Atlas-Dirty Devil Mining  ,UT ,Abandoned 
C ,Coal (Bituminous) ,Blackie Surface Mine & Prep Plant,Surface,4201450,Atlas-Dirty Devil Mining  ,UT ,Abandoned 
M ,Construction Sand and Gravel ,"Hitt Pit, Inc.",Surface,1002257,Babe's Dirt Work  ,ID ,Abandoned 
M ,Construction Sand and Gravel ,Bar-Lin Dirt Pit,Surface,1601167,Bar-Lin Dirt Company  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Barber'S Dirt Pit,Surface,4103265,Barber'S Dirt Pit  ,TX ,Abandoned 
M ,Construction Sand and Gravel ,BENDER SAND & DIRT,Surface,1401575,Bender Sand & Dirt  ,KS ,Intermittent 
M ,Construction Sand and Gravel ,BERT'S DIRT,Surface,1700776,BERT'S DIRT  ,ME ,Abandoned 
M ,Construction Sand and Gravel ,Dorothy V Pit,Surface,1601251,Big D Dirt Service Inc  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Big Red Dirt Farm,Surface,0301963,Big Red Dirt Farm LLC  ,AR ,Abandoned 
M ,Construction Sand and Gravel ,Big River Dirt Pit,Surface,1601082,Big River Dirt Pit  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Harris Pit,Surface,3401751,Bob Harris Dirt Contracting  ,OK ,Abandoned 
M ,Construction Sand and Gravel ,BOHANNON SAND & DIRT,Surface,1600916,Bohannon Sand & Dirt  ,LA ,Abandoned 
M ,Construction Sand and Gravel ,Eubanks Pit,Surface,3401211,Bratcher'S Sand & Dirt  ,OK ,Abandoned 
M ,Construction Sand and Gravel ,Brewer Pit,Surface,0301267,Brewer Dirt Works  ,AR ,Abandoned 
M ,Construction Sand and Gravel ,Buck'S Dirt Pit,Surface,1600956,Buck'S Dirt Pit  ,LA ,Abandoned 
M ,Common Clays NEC ,Laurel Brick & Tile,Surface,2200033,C & G Dirt Hauling  ,MS ,Abandoned 
